Rank,Title,Lifetime Gross,Year
128,Meet the Fockers,"$279,261,160",2004
129,The Hangover,"$277,339,746",2009
130,Gravity,"$274,092,705",2013
131,The Grinch,"$272,504,456",2018
132,Sing,"$270,578,425",2016
133,Shrek,"$268,698,241",2001
134,Monsters University,"$268,492,764",2013
135,Twisters,"$267,762,265",2024
136,Jaws,"$267,263,625",1975
137,Despicable Me 3,"$264,624,300",2017
138,The Amazing Spider-Man,"$262,782,352",2012
139,Harry Potter and the Chamber of Secrets,"$262,641,637",2002
140,How the Grinch Stole Christmas,"$261,901,880",2000
141,The Incredibles,"$261,441,092",2004
142,Captain America: The Winter Soldier,"$259,766,572",2014
143,The Hobbit: The Desolation of Smaug,"$258,387,334",2013
144,The Lego Movie,"$257,966,122",2014
145,Star Trek,"$257,730,019",2009
146,I Am Legend,"$256,393,010",2007
147,The Blind Side,"$255,982,860",2009
148,The Hobbit: The Battle of the Five Armies,"$255,138,261",2014
149,The Hangover Part II,"$254,464,305",2011
150,Mufasa: The Lion King,"$252,438,475",2024
151,Despicable Me,"$251,683,815",2010
152,Batman,"$251,409,241",1989
153,Night at the Museum,"$250,863,268",2006
154,Men in Black,"$250,690,539",1997
155,Harry Potter and the Prisoner of Azkaban,"$250,105,651",2004
156,Moana,"$248,757,044",2016
157,Raiders of the Lost Ark,"$248,159,971",1981
158,Toy Story 2,"$245,852,179",1999
159,Transformers: Age of Extinction,"$245,439,076",2014
160,Cars,"$244,082,982",2006
161,Ghostbusters,"$243,640,120",1984
162,Bruce Almighty,"$242,829,261",2003
163,Twister,"$241,830,615",1996
164,My Big Fat Greek Wedding,"$241,438,208",2002
165,Maleficent,"$241,410,378",2014
166,Pirates of the Caribbean: On Stranger Tides,"$241,071,802",2011
167,Shrek Forever After,"$238,736,787",2010
168,Fast & Furious 6,"$238,679,850",2013
169,Brave,"$237,283,207",2012
170,Sonic the Hedgehog 3,"$236,007,145",2024
171,Oz the Great and Powerful,"$234,911,825",2013
172,Beverly Hills Cop,"$234,760,478",1984
173,X-Men: The Last Stand,"$234,362,462",2006
174,War of the Worlds,"$234,280,354",2005
175,Fantastic Beasts and Where to Find Them,"$234,037,575",2016
176,X-Men: Days of Future Past,"$233,921,534",2014
177,Cast Away,"$233,632,142",2000
178,The Exorcist,"$233,005,644",1973
179,Doctor Strange,"$232,641,920",2016
180,The Lost World: Jurassic Park,"$229,086,679",1997
181,Justice League,"$229,024,295",2017
182,Star Trek Into Darkness,"$228,778,661",2013
183,The Martian,"$228,433,663",2015
184,Signs,"$227,966,634",2002
185,Hancock,"$227,946,274",2008
186,The Bourne Ultimatum,"$227,471,070",2007
187,Logan,"$226,277,068",2017
188,Rush Hour 2,"$226,164,286",2001
189,The Fate of the Furious,"$226,008,385",2017
190,Shang-Chi and the Legend of the Ten Rings,"$224,543,292",2021
191,WALL·E,"$223,808,164",2008
192,Toy Story,"$223,225,679",1995
193,Big Hero 6,"$222,527,828",2014
194,Mission: Impossible - Fallout,"$220,159,104",2018
195,National Treasure: Book of Secrets,"$219,964,115",2007
196,Alvin and the Chipmunks: The Squeakquel,"$219,614,612",2009
197,Mrs. Doubtfire,"$219,195,243",1993
198,Beauty and the Beast,"$218,967,620",1991
199,Ted,"$218,815,487",2012
200,Wonka,"$218,402,312",2023
