Title,Rating,Duration,Release Date,Genre,Synopsis,Director,Cast,Awards
Encanto,,1h 42min,26 November 2021,"Adventure, Animation, Fantasy, Kids & Family, Musical",* Terms and Conditions Apply,"Jared Bush, Byron Howard","Stephanie Beatriz, María Cecilia Botero, Mauro Castillo, John Leguizamo, Jessica Darrow, Angie Cepeda, Carolina Gaitán, Diane Guerrero, Wilmer Valderrama, Rhenzy Feliz, Ravi Cabot-Conyers, Adassa Candiani",N/A
Eternals,,2h 37min,05 November 2021,"Action, Adventure, Science Fiction, Superhero",* Terms and Conditions Apply,Chloé Zhao,"Gemma Chan, Richard Madden, Kumail Nanjiani, Lia McHugh, Brian Tyree Henry, Lauren Ridloff, Barry Keoghan, Don Lee, Kit Harington, Salma Hayek, Angelina Jolie",N/A
Dumbo (2019),PG,1h 52min,29 March 2019,"Adventure, Family, Fantasy",* Terms and Conditions Apply,Tim Burton,"Colin Farrell, Michael Keaton, Danny DeVito, Eva Green, Alan Arkin, Nico Parker, Finley Hobbins, Roshan Seth, Lars Eidinger, DeObia Oparei",N/A
Frozen 2,PG,1h 44min,06 December 2019,"Action-Adventure, Animation, Family, Fantasy, Musical",* Terms and Conditions Apply,"Chris Buck, Jennifer Lee","Kristen Bell, Idina Menzel, Josh Gad, Jonathan Groff, Sterling K. Brown, Evan Rachel Wood, Alfred Molina, Martha Plimpton, Jason Ritter, Rachel Matthews, Jeremy Sisto, Ciaran Hinds, Alan Tudyk, Hadley Gannaway, Mattea Conforti, AURORA, Alan Tudyk, Libby Stubenrauch, Santino Fontana, Eva Bella",N/A
Guardians of the Galaxy: Volume 3,13,2h 29min,05 May 2023,"Action-Adventure, Comedy, Science Fiction, Superhero",* Terms and Conditions Apply,James Gunn,"Chris Pratt, Zoë Saldaña, Dave Bautista, Karen Gillan, Pom Klementieff, Vin Diesel, Bradley Cooper, Will Poulter, Sean Gunn, Chukwudi Iwuji, Maria Bakalova",N/A
Haunted Mansion,13,2h 3min,04 August 2023,"Action, Adventure, Comedy, Family, Fantasy",* Terms and Conditions Apply,Justin Simien,"Lakeith Stanfield, Tiffany Haddish, Owen Wilson, Danny DeVito, Rosario Dawson, Chase W. Dillon, Jamie Lee Curtis, Jared Leto",N/A
Indiana Jones and the Dial of Destiny,16,2h 34min,30 June 2023,"Action, Adventure, Science Fiction",* Terms and Conditions Apply,James Mangold,"Harrison Ford, Phoebe Waller-Bridge, Antonio Banderas, Mads Mikkelsen, Shaunette Renée Wilson, Ethann Isidore, Thomas Kretschmann, John Rhys-Davies, Toby Jones, Boyd Holbrook, Olivier Richters",N/A
Jungle Cruise,2h 7min,06 August 2021,"Action, Adventure, Comedy",N/A,* Terms and Conditions Apply,Jaume Collet-Serra,"Dwayne Johnson, Emily Blunt, Edgar Ramirez, Jack Whitehall, Jesse Plemons, Paul Giamatti, Veronica Falcón, Dani Rovira, Quim Gutierrez, Dan Dargan Carter, Andy Nyman, Raphael Alejandro, Simone Lockhart, Pedro Lopez, Sulem Calderon, Sebastian Blunt, Mark Ashworth, Allan Poppleton, Caroline Paige, James Quattrochi",N/A
Maleficent: Mistress of Evil,7-9PG,1h 59min,29 October 2019,"Action-Adventure, Family, Fantasy",* Terms and Conditions Apply,Joachim Rønning,"Angelina Jolie, Elle Fanning, Chiwetel Ejiofor, Sam Riley, Harris Dickinson, Harris Dickinson, Ed Skrein, Imelda Staunton, Juno Temple, Lesley Manville",N/A
Luca,,1h 35min,18 June 2021,"Action, Adventure, Animation, Comedy",* Terms and Conditions Apply,Enrico Casarosa,"Jacob Tremblay, Jack Dylan Grazer, Emma Berman, Maya Rudolph, Marco Barricelli, Jim Gaffigan",N/A
Lightyear,PG,1h 40min,17 June 2022,"Action, Adventure, Animation, Science Fiction",* Terms and Conditions Apply,Angus MacLane,"Mary McDonald-Lewis, Chris Evans, Keke Palmer, Peter Sohn, Taika Waititi, Dale Soules, James Brolin, Uzo Aduba, Mary McDonald-Lewis, Isiah Whitlock, Jr., Angus MacLane, Bill Hader, Efren Ramirez, Keira Hairston",N/A
Marvel Studios' Ant-Man and the Wasp,10-12PG,1h 58min,06 July 2018,"Action-Adventure, Comedy, Science Fiction, Superhero",* Terms and Conditions Apply,Peyton Reed,"Paul Rudd, Evangeline Lilly, Hannah John-Kamen, Michael Peña, Walton Goggins, David Dastmalchian, Tip ""T.I."" Harris, Judy Greer, Bobby Cannavale, Randall Park, Abby Ryder Fortson",N/A
Mary Poppins Returns,A,2h 10min,28 December 2018,"Family, Fantasy, Musical",* Terms and Conditions Apply,Rob Marshall,"Emily Blunt, Lin-Manuel Miranda, Ben Whishaw, Emily Mortimer, Julie Walters, Pixie Davies, Nathanael Saleh, Joel Dawson, Colin Firth, Meryl Streep",N/A
Moana 2,PG,1h 40min,29 November 2024,"Action-Adventure, Animation, Family, Fantasy, Musical",* Terms and Conditions Apply,"David Derrick Jr., Jason Hand, Dana Ledoux Miller","Auli'i Cravalho, Dwayne Johnson",N/A
Onward,,1h 42min,06 March 2020,"Adventure, Animation, Comedy, Kids & Family",* Terms and Conditions Apply,Dan Scanlon,"Tom Holland, Chris Pratt, Julia Louis-Dreyfus, Octavia Spencer, Mel Rodriguez, Kyle Bornheimer, Lena Waithe, Ali Wong, Grey Griffin, Tracey Ullman, Wilmer Valderrama, George Psarras, John Ratzenberger",N/A
Ralph Breaks the Internet,PG,1h 52min,30 November 2018,"Action-Adventure, Animation, Comedy, Family",* Terms and Conditions Apply,"Rich Moore, Phil Johnston","John C. Reilly, Sarah Silverman, Gal Gadot, Jane Lynch, Jack McBrayer, Alan Tudyk, Alfred Molina, Ed O'Neill, Taraji P. Henson, Sean Giambrone",N/A
Raya and the Last Dragon,,1h 30min,19 March 2021,"Action-Adventure, Animation, Family, Fantasy",* Terms and Conditions Apply,"Don Hall, Carlos López Estrada","Kelly Marie Tran, Awkwafina, Izaac Wang, Gemma Chan, Daniel Dae Kim, Benedict Wong, Jona Xiao, Sandra Oh, Thalia Tran, Lucille Soong, Alan Tudyk, Gordon Ip, Dichen Lachman, Patti Harrison, Jon ""Dumbfoundead"" Park, Sung Kang, Sierra Katow, Ross Butler, François Chau, Paul Yen",N/A
Shang-Chi and the Legend of the Ten Rings,,2h 0min,03 September 2021,"Action, Adventure, Fantasy, Superhero",* Terms and Conditions Apply,Destin Daniel Cretton,"Simu Liu, Awkwafina, Meng'er Zhang, Fala Chen, Florian Munteanu, Ronny Chieng, Michelle Yeoh, Tony Leung",N/A
Solo: A Star Wars Story,10-12PG,2h 15min,25 May 2018,"Action-Adventure, Crime, Science Fiction",* Terms and Conditions Apply,Ron Howard,"Alden Ehrenreich, Woody Harrelson, Emilia Clarke, Donald Glover, Thandie Newton, Phoebe Waller-Bridge, Joonas Suotamo, Paul Bettany, Jon Favreau, Erin Kellyman",N/A
